Metrics;Nom Dossier;Op‚ration;Date de commande;Oblig‚;Statut;Type;Taux r‚ussite;Ce que j'attends ou derniŠre action r‚alis‚e;DerniŠre action;Prochaine action;Prochaine action;Responsable;R“le Actif-incitatif;D‚but Travaux;Fin de Travaux; KwH Convention ;Montant ?/MwHc HT;Montant Total HT;Taux B‚n‚ficiaire (?/MwHc) HT;Taux B‚n‚ficiaire (?/MwHc) TTC;Montant B‚n‚ficiaire (TTC);Taux Apport d'affaire;Part Apport d'affaire;Taux Cameo;Part Cameo;Date Chiffrage;Date Validation;Mois de d‚p“t pr‚visionnel;Fiches;Commentaires;VR
CH Montb‚liard;CH Montb‚liard_Maison Jolie_VMC_1;;2014;A;Collecte et travaux en cours;CH;100%;AFT en attente de r‚ception;16-mars-15;;;Ti;3-d‚c.-13;1-janv.-14;17-nov.-14; 6 510 000   ;3,30 ?;21 483,00 ?;2,50 ?;3,00 ?;19 530,00 ?;0,00 ?;0,00 ?;0,80 ?;5 208,00 ?;S 47 2013;S 49 2013;mars-15;BAT-TH-26;;X
CH Noble Age;CH Noble ƒge_Toiture terrasse;;;A;PERDU;EHPAD;0%;AFT pr‚ rempli, RDV le 23 juillet;-;;;Ti;07/11/2013;avr-14;juin-14; 1 722 600   ;3,30 ?;5 684,58 ?;2,50 ?;3,00 ?;5 167,80 ?;;;0,80 ?;1 378,08 ?;S 44 2013;S 46 2013;;BAT-EN-07;-;
CH Saint Antoine;CH Saint Antoine;;;A;PERDU;CH;0%;En compet avec certinergy;26-juin-14;;Relancer si ils passent avec nous VR;Ti;;;; 32 000 000   ;3,50 ?;112 000,00 ?;;0,00 ?;0,00 ?;;;;0,00 ?;;;;;;
CH Saint Denis;CH SAINT DENIS;;;T;PERDU;CH;0%;Attente doc technique fenˆtre;18-juin-14;;;Ti;16/05/2013;sept-13;2Šme sem 14; 8 641 080   ;3,50 ?;30 243,78 ?;2,50 ?;3,00 ?;25 923,24 ?;;;1,00 ?;8 641,08 ?;S 49 2013;;;BAT-EN-04-GT;"
RDC : Avril/mai -> Fin 2014";
CH Saint Nazaire;CH Saint Nazaire_ChaudiŠres condensation X2;;;A;PERDU;CH;0%;Attente retour client;;;;Ti;;;; 1 000 000   ;3,50 ?;3 500,00 ?;;0,00 ?;0,00 ?;;;;0,00 ?;S 10 2014;;;BAT-TH-02;envoi nouvel accord type Cameo le 05/03/2014;
CH Sainte Anne;CH Sainte anne - Bƒtiment IPP_1_ISO;;2014;T;Convention;CH;100%;Convention sign‚e;7-oct.-14;;R‚colter preuve;Ti;15-sept.-14;1-oct.-14;15-d‚c.-14; 23 079 000   ;3,50 ?;80 776,50 ?;3,00 ?;3,60 ?;83 084,40 ?;0,00 ?;0,00 ?;0,50 ?;11 539,50 ?;S 10 2014;S 10 2014;juin-15;BAT-TH-02/BAT-TH-09/BAT-SE-03 + ISO;;
CH Sainte Anne;CH Sainte anne - Bƒtiment IPP_2_Calo;;2014;S;Convention;CH;100%;Convention sign‚e;7-oct.-14;;R‚colter preuve;Ti;15-sept.-14;1-oct.-14;15-d‚c.-14; 9 370 800   ;3,50 ?;32 797,80 ?;3,00 ?;3,60 ?;33 734,88 ?;0,00 ?;0,00 ?;0,50 ?;4 685,40 ?;S 10 2014;S 10 2014;mai-15;"BAT-TH-07
BAT-TH-19";;
CH Sainte Anne;CH Sainte Anne - Benjamin Ball;;2014;T;R‚colte preuve;CH;100%;Convention remise … CHSA;7-oct.-14;;R‚cup‚rer docs techniques;Ti;29-juil.-14;janvier-15;30-oct.-15; 40 356 320   ;3,50 ?;141 247,12 ?;3,00 ?;3,60 ?;145 282,75 ?;0,00 ?;0,00 ?;0,50 ?;20 178,16 ?;S 22 2014;S 22 2014;d‚c-15;BAT-EQ-27/BAT-TH-25/BAT-TH-26/RES-CH-06/BAT-TH-06/BAT-TH-12/BAT-TH-19/IND-UT-16/IND-UT-17/BAT-EN-04/BAT-EN-02/BAT-EN-01;;
CH Sainte Anne;CH Sainte Anne - Chantier Therapeutique;;2014;S;AFT;CH;100%;Facture des fenˆtres;7-oct.-14;;R‚colter facture isolation comble;Ti;1-mars-14;avril-14;30-juin-14; 631 950   ;3,50 ?;2 211,83 ?;3,00 ?;3,60 ?;2 275,02 ?;0,00 ?;0,00 ?;0,50 ?;315,98 ?;S 19 2014;S 19 2014;mars-15;BAT-EN-04;;
CH Sainte Anne;CH Sainte Anne - CRC;;;;PERDU;CH;0%;Chiffrage … faire avec CCTP projet ventilation;;;;Ti;;;; 325 000   ;3,50 ?;1 137,50 ?;;0,00 ?;0,00 ?;;;;0,00 ?;S 22 2014;;;;193,96 mý de fenˆtres / 98 fenˆtres;
CH Sainte Anne;CH Sainte Anne -Bƒtiment 65 Informatique;;2014;S;Convention sign‚e;CH;100%;"Convention re‡ue
Coordonn‚e instal re‡u ";7-oct.-14;;R‚colter preuve;Ti;;;1-janv.-15; 1 387 025   ;3,50 ?;4 854,59 ?;3,00 ?;3,60 ?;4 993,29 ?;0,00 ?;0,00 ?;0,50 ?;693,51 ?;S 19 2014;S 19 2014;avr-15;"BAT-EN-05
BAT-EN-01
BAT-EQ-01";;
CH Sainte Anne;CH Sainte anne_‚changeur;;;T;PERDU;CH;0%;pas ‚ligible;;;;Ti;;;Fini; 873 810   ;3,50 ?;3 058,34 ?;3,00 ?;3,60 ?;3 145,72 ?;;;0,50 ?;436,91 ?;S 10 2014;;;RES-CH-03;;
CH Savigny;CH Savigny le temple_ChaudiŠre condensation;;;A;PERDU;CH;0%;Attente facture par la comptable relou puis pr‚parer AFT ;18-juin-14;;VR doit rappeler la comptable;Ti;05/11/2013;11/2013?;Fin 12/2013 ou d‚but 2014; 4 495 527   ;3,30 ?;14 835,24 ?;2,50 ?;3,00 ?;13 486,58 ?;;;0,80 ?;3 596,42 ?;S 41 2013;S 43 2013;;"BAT-TH-02
BAT-TH-08
BAT-TH-09";-;
CH Strasbourg;CH Strasbourg_Op‚ration1_TFP;;;S;PERDU;CH;0%;En attente de validation de l'administration sur la validit‚ du projet ou non;18-juil.-14;; suivre la validation;Ti;;1-sept.-14;1-sept.-14; 59 200 000   ;;;;;0,00 ?;;;;;S 27 2014;;;Autres;;
CH Gustave Roussy;Gustave Roussy VEV;;;;PERDU;;0%;;;;;Ti;;;; 464 118   ;;0,00 ?;;0,00 ?;0,00 ?;;;;0,00 ?;;;;"BAT-TH-12
 IND-UT-16";Restaurant du 11e ‚tage, ne repr‚sente que 2% d'‚conomie financiŠre;
CH Henri Mondor;HENRI MONDOR;;;;PERDU;;0%;;;;;Ti;;;; 30 000 000   ;;0,00 ?;;0,00 ?;0,00 ?;;;;0,00 ?;;;;;;
CH Montb‚liard;Montb‚liard - Calorifugeage + CTA Bloc op‚ratoire;;;A;PERDU;CH;0%;Projet … valider;cour 2014;;;Ti;;;; 301 920   ;3,30 ?;996,34 ?;2,50 ?;3,00 ?;905,76 ?;;;0,80 ?;241,54 ?;;;;;;
CH Mulhouse;MULHOUSE;;;A;PERDU;CH;0%;Attente validation AO;cour 2014;;;Ti;;;; 14 000 000   ;;0,00 ?;;0,00 ?;0,00 ?;;;;0,00 ?;;;;;;
CH Saint Nazaire;SAINT NAZAIRE - Fenˆtres (X50);;;A;PERDU;CH;0%;Attente retour client;;;;Ti;;;; 2 500 000   ;3,50 ?;8 750,00 ?;2,50 ?;3,00 ?;7 500,00 ?;;;1,00 ?;2 500,00 ?;S 10 2014;;;BAT-EN-04;envoi nouvel accord type Cameo le 05/03/2014;
CH Saint Nazaire;SAINT NAZAIRE - Isolation;;;A;PERDU;CH;0%;Attente retour client;;;;Ti;;;; 1 000 000   ;;0,00 ?;;0,00 ?;0,00 ?;;;;0,00 ?;S 10 2014;;;BAT-EN-07;envoi nouvel accord type Cameo le 05/03/2014;
CH Sainte Anne;Sainte_Anne_Bƒtiment 39;;2013;S;AFT;CH;100%;AFT en signature ;13-mars-15;;R‚cup tous les documents, travaux termin‚s, on re‡oit tout avant le 20;Ti;;;; 354 200   ;3,50 ?;1 239,70 ?;3,00 ?;3,60 ?;1 275,12 ?;0,00 ?;0,00 ?;0,50 ?;177,10 ?;;;avr-15;;;
CH Sainte Anne;Sainte_Anne_Piera Aulagnier_1;;2014;S;Attente valid;CH;5%;Chiffrage envoy‚ ;3-juil.-14;;Avoir un peu plus de news sur les dates et la doc technique;Ti;;Automne;; 1 539 000   ;3,50 ?;5 386,50 ?;3,00 ?;3,60 ?;5 540,40 ?;0,00 ?;0,00 ?;0,50 ?;769,50 ?;S 26 2014;S 26 2014;;RES-CH-03;;
CH Strasbourg;CH Strasbourg_Op‚ration4_Isolation Toitures Terrasses;;2014;S;Edition Convention;CH;50%;Convention envoy‚e ;12-sept.-14;4-d‚c.-14; + Convention;Ti;;R‚cup;R‚cup; 2 254 230   ;3,50 ?;7 889,81 ?;3,00 ?;3,60 ?;8 115,23 ?;0,00 ?;0,00 ?;0,50 ?;1 127,12 ?;S 34 2014;;juin-15;BAT-EN-07;;
APHP Kremlin;Kremlin-Bicˆtre_R‚seau vapeur;;2014;S;Convention;AP-HP;50%;Convention r‚ceptionn‚e (accord spot envoy‚);1-oct.-14;1-d‚c.-14;Demander infos suppl‚mentaire sur descripotif du r‚seau;Ti;29/08/2014;29-sept.-14;1-ao–t-15; 3 840 000   ;3,50 ?;13 440,00 ?;2,70 ?;3,24 ?;12 441,60 ?;0,00 ?;0,00 ?;0,80 ?;3 072,00 ?;;S39 2014;oct-15;RES-CH-06;;
SEMMARIS;SEMMARIS_GUYNEMER_1;;2014;S;Convention;Autre;100%;;11-d‚c.-14;15-d‚c.-14;Demander date travaux et entreprises;Ti;En attente;D‚but d‚cembre;Ao–t; 5 480 342   ;3,5;19 181 ?;3,00 ?;3,6;19 729,23 ?;0,00 ?;0,00 ?;0,5;2 740 ?;;S39 2014;nov-15;;;
CH Sainte Anne;Sainte-anne_Calorifugeage_op‚ration 4_ CMME 19;;;S;PERDU;CH;0%;Car c'est du pr‚-isol‚;27-oct.-14;;Demander infos compl‚mentaire sur r‚seau + demander date travaux;Ti;;;;;;;;0;0,00 ?;;;;;;;;;;
CH Sarreguemines;"Sarreguemines_Op‚ration1_Calorifugeage r‚seau primaire
 en sous station_1";Calorifugeage primaire;2014;S;Convention;CH;100%;Demande preuve par mail avec explication;12-nov.-14;10-d‚c.-14;R‚colte preuve;Ti;Oui;juin;15-janv.-15; 35 115 879   ;3,5;122 906 ?;2,70 ?;3,24;113 775,45 ?;0,00 ?;0,00 ?;0,8;28 093 ?;20/06/2014;21/06/2014;mai-15;RES-CH-06;;X
CH Sarreguemines;Sarreguemines_Op‚ration2_Conciergerie secondaire_1;ChaudiŠre condensation;2014;S;Chiffrage;CH;100%;Convention re‡ue;22-d‚c.-14;;Pr‚parer AFT;Ti;Oui;?;?; 108 000   ;3,5;378 ?;2,70 ?;3,24;349,92 ?;0,00 ?;0,00 ?;0,8;86 ?;;S 52 2014;S2 2015;BAT-EN-04;;
CH Sarreguemines;Sarreguemines_fenˆtre;fenˆtre;2014;S;Convention;CH;100%;Convention re‡ue;;;;;;;septembre; 65 447   ;3,5;229 ?;2,70 ?;3,24;212,05 ?;0,00 ?;0,00 ?;0,8;52 ?;;;mai-15;;;
CH Charcot;Charcot_op‚ration1_POMMERAIE_1;Isolation des combles ou de toitures;;T;Travaux bient“t commenc‚, CCTP valid‚;CH;100%;Convention envoy‚e, attente retour;12-nov.-14;26-nov.-14;R‚cup‚rer convention sign‚e originale;Ti;30-oct.-14;Mars;1-juil.-15; 579 500   ;3,5;2 028,25 ?;2,90 ?;3,48;2 016,66 ?;0,00 ?;0,00 ?;0,6;347,7;;12/11/2014;sept-15;;;
CH Charcot;Charcot_op‚ration1_POMMERAIE_2;Isolation des combles ou de toitures;;T;Travaux bient“t commenc‚, CCTP valid‚;CH;100%;Convention envoy‚e, attente retour;12-nov.-14;26-nov.-14;R‚cup‚rer convention sign‚e originale;Ti;30-oct.-14;Mars;1-juil.-15; 1 421 200   ;3,5;4 974,20 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;852,72;;12/11/2014;sept-15;;;
CH Charcot;Charcot_op‚ration1_POMMERAIE_3;Isolation des murs par l'ext‚rieur;;T;Travaux bient“t commenc‚, CCTP valid‚;CH;100%;Convention envoy‚e, attente retour;12-nov.-14;26-nov.-14;R‚cup‚rer convention sign‚e originale;Ti;30-oct.-14;Mars;1-juil.-15; 3 171 300   ;3,5;11 099,55 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;1902,78;;12/11/2014;sept-15;;;
CH Charcot;Charcot_op‚ration1_POMMERAIE_4;Isolation des murs par l'ext‚rieur;;T;Travaux bient“t commenc‚, CCTP valid‚;CH;100%;Convention envoy‚e, attente retour;12-nov.-14;26-nov.-14;R‚cup‚rer convention sign‚e originale;Ti;30-oct.-14;Mars;1-juil.-15; 3 502 620   ;3,5;12 259,17 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;2101,572;;12/11/2014;sept-15;;;
CH Charcot;Charcot_op‚ration1_POMMERAIE_5;Isolation d'un plancher;;T;Travaux bient“t commenc‚, CCTP valid‚;CH;100%;Convention envoy‚e, attente retour;12-nov.-14;26-nov.-14;R‚cup‚rer convention sign‚e originale;Ti;30-oct.-14;Mars;1-juil.-15; 735 680   ;3,5;2 574,88 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;441,408;;12/11/2014;sept-15;;;
CH Charcot;Charcot_op‚ration1_POMMERAIE_6;Fenˆtre ou porte fenˆtre;;T;Travaux bient“t commenc‚, CCTP valid‚;CH;100%;Convention envoy‚e, attente retour;12-nov.-14;26-nov.-14;R‚cup‚rer convention sign‚e originale;Ti;30-oct.-14;Mars;1-juil.-15; 967 582   ;3,5;3 386,54 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;580,5492;;12/11/2014;sept-15;;;
CH Charcot;Charcot_op‚ration1_POMMERAIE_7;Fenˆtre ou porte fenˆtre;;T;Travaux bient“t commenc‚, CCTP valid‚;CH;100%;Convention envoy‚e, attente retour;12-nov.-14;26-nov.-14;R‚cup‚rer convention sign‚e originale;Ti;30-oct.-14;Mars;1-juil.-15; 938 700   ;3,5;3 285,45 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;563,22;;12/11/2014;sept-15;;;
CH Charcot;Charcot_op‚ration1_POMMERAIE_8;ChaudiŠre collective de type condensation ;;T;Travaux bient“t commenc‚, CCTP valid‚;CH;100%;Convention envoy‚e, attente retour;12-nov.-14;26-nov.-14;R‚cup‚rer convention sign‚e originale;Ti;30-oct.-14;Mars;1-juil.-15; 558 000   ;3,5;1 953,00 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;334,8;;12/11/2014;sept-15;;;
CH Charcot;Charcot_op‚ration1_POMMERAIE_9;ChaudiŠre individuelle de type condensation;;T;Travaux bient“t commenc‚, CCTP valid‚;CH;100%;Convention envoy‚e, attente retour;12-nov.-14;26-nov.-14;R‚cup‚rer convention sign‚e originale;Ti;30-oct.-14;Mars;1-juil.-15; 672 000   ;3,5;2 352,00 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;403,2;;12/11/2014;sept-15;;;
CH Charcot;Charcot_op‚ration1_POMMERAIE_10;Optimiseur de relance pour chauffage central;;T;Travaux bient“t commenc‚, CCTP valid‚;CH;100%;Convention envoy‚e, attente retour;12-nov.-14;26-nov.-14;R‚cup‚rer convention sign‚e originale;Ti;30-oct.-14;Mars;1-juil.-15; 100 440   ;3,5;351,54 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;60,264;;12/11/2014;sept-15;;;
CH Charcot;Charcot_op‚ration1_POMMERAIE_11;VMC autor‚glable;;T;PERDU;CH;0%;PERDU Car choix technique de l'installateur;12-nov.-14;26-nov.-14;R‚cup‚rer convention sign‚e originale;Ti;30-oct.-14;;; 158 100   ;3,5;553,35 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;94,86;;12/11/2014;;;;
CH Charcot;Charcot_op‚ration1_POMMERAIE_12;Variateur de vitesse;;T;Travaux bient“t commenc‚, CCTP valid‚;CH;100%;Convention envoy‚e, attente retour;12-nov.-14;26-nov.-14;R‚cup‚rer convention sign‚e originale;Ti;30-oct.-14;Mars;1-juil.-15; 100 000   ;3,5;350,00 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;60;;12/11/2014;sept-15;;;
CH Charcot;Charcot_Op‚ration2_Archipel_1;Isolation des murs par l'ext‚rieur;;S;CCTP en cours de r‚daction;CH;2%;Chiffrage envoy‚ ;13-nov.-14;27-nov.-14;Demander validation pour ‚dition convention;Ti;;;; 15 922 830   ;3,5;55 730 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;9 554 ?;;;;;;
